step,burning,depleted,fuel,firefighters,burned_total
0,1,0,3978,3,1
1,2,0,3977,3,2
2,4,1,3974,3,5
3,11,2,3966,3,13
4,14,5,3960,3,19
5,21,13,3945,3,34
6,30,19,3930,3,49
7,44,34,3901,3,78
8,52,47,3880,3,99
9,52,75,3852,3,127
10,54,97,3828,3,151
11,66,124,3789,3,190
12,79,151,3749,3,230
13,79,188,3712,3,267
14,81,226,3672,3,307
15,90,266,3623,3,356
16,101,308,3570,3,409
17,98,360,3521,3,458
18,89,414,3476,3,503
19,99,461,3419,3,560
20,86,509,3384,3,595
21,89,562,3328,3,651
22,94,595,3290,3,689
23,88,646,3245,3,734
24,91,684,3204,3,775
25,96,732,3151,3,828
26,115,771,3093,3,886
27,123,827,3029,3,950
28,124,887,2968,3,1011
29,109,950,2920,3,1059
30,102,1010,2867,3,1112
31,110,1059,2810,3,1169
32,98,1114,2767,3,1212
33,85,1167,2727,3,1252
34,75,1216,2688,3,1291
35,69,1256,2654,3,1325
36,66,1293,2620,3,1359
37,60,1328,2591,3,1388
38,50,1361,2568,3,1411
39,45,1391,2543,3,1436
40,47,1409,2523,3,1456
41,44,1435,2500,3,1479
42,41,1455,2483,3,1496
43,40,1477,2462,3,1517
44,38,1496,2445,3,1534
45,32,1515,2432,3,1547
46,27,1532,2420,3,1559
47,31,1546,2402,3,1577
48,41,1558,2380,3,1599
49,49,1577,2353,3,1626
50,40,1597,2342,3,1637
51,32,1622,2325,3,1654
52,40,1636,2303,3,1676
53,36,1654,2289,3,1690
54,29,1676,2274,3,1705
55,26,1691,2262,3,1717
56,21,1706,2252,3,1727
57,16,1717,2246,3,1733
58,11,1727,2241,3,1738
59,10,1732,2237,3,1742
60,5,1737,2237,3,1742
61,1,1741,2237,3,1742
62,0,1742,2237,3,1742
63,0,1742,2237,3,1742
64,0,1742,2237,3,1742
65,0,1742,2237,3,1742
66,0,1742,2237,3,1742
67,0,1742,2237,3,1742
68,0,1742,2237,3,1742
69,0,1742,2237,3,1742
70,0,1742,2237,3,1742
71,0,1742,2237,3,1742
72,0,1742,2237,3,1742
73,0,1742,2237,3,1742
74,0,1742,2237,3,1742
75,0,1742,2237,3,1742
76,0,1742,2237,3,1742
77,0,1742,2237,3,1742
78,0,1742,2237,3,1742
79,0,1742,2237,3,1742
80,0,1742,2237,3,1742
81,0,1742,2237,3,1742
82,0,1742,2237,3,1742
83,0,1742,2237,3,1742
84,0,1742,2237,3,1742
85,0,1742,2237,3,1742
86,0,1742,2237,3,1742
87,0,1742,2237,3,1742
88,0,1742,2237,3,1742
89,0,1742,2237,3,1742
90,0,1742,2237,3,1742
91,0,1742,2237,3,1742
92,0,1742,2237,3,1742
93,0,1742,2237,3,1742
94,0,1742,2237,3,1742
95,0,1742,2237,3,1742
96,0,1742,2237,3,1742
97,0,1742,2237,3,1742
98,0,1742,2237,3,1742
99,0,1742,2237,3,1742
100,0,1742,2237,3,1742
101,0,1742,2237,3,1742
102,0,1742,2237,3,1742
103,0,1742,2237,3,1742
104,0,1742,2237,3,1742
105,0,1742,2237,3,1742
106,0,1742,2237,3,1742
107,0,1742,2237,3,1742
108,0,1742,2237,3,1742
109,0,1742,2237,3,1742
110,0,1742,2237,3,1742
111,0,1742,2237,3,1742
112,0,1742,2237,3,1742
113,0,1742,2237,3,1742
114,0,1742,2237,3,1742
115,0,1742,2237,3,1742
116,0,1742,2237,3,1742
117,0,1742,2237,3,1742
118,0,1742,2237,3,1742
119,0,1742,2237,3,1742
120,0,1742,2237,3,1742
121,0,1742,2237,3,1742
122,0,1742,2237,3,1742
123,0,1742,2237,3,1742
124,0,1742,2237,3,1742
125,0,1742,2237,3,1742
126,0,1742,2237,3,1742
127,0,1742,2237,3,1742
128,0,1742,2237,3,1742
129,0,1742,2237,3,1742
130,0,1742,2237,3,1742
131,0,1742,2237,3,1742
132,0,1742,2237,3,1742
133,0,1742,2237,3,1742
134,0,1742,2237,3,1742
135,0,1742,2237,3,1742
136,0,1742,2237,3,1742
137,0,1742,2237,3,1742
138,0,1742,2237,3,1742
139,0,1742,2237,3,1742
140,0,1742,2237,3,1742
141,0,1742,2237,3,1742
142,0,1742,2237,3,1742
143,0,1742,2237,3,1742
144,0,1742,2237,3,1742
145,0,1742,2237,3,1742
146,0,1742,2237,3,1742
147,0,1742,2237,3,1742
148,0,1742,2237,3,1742
149,0,1742,2237,3,1742
150,0,1742,2237,3,1742
151,0,1742,2237,3,1742
152,0,1742,2237,3,1742
153,0,1742,2237,3,1742
154,0,1742,2237,3,1742
155,0,1742,2237,3,1742
156,0,1742,2237,3,1742
157,0,1742,2237,3,1742
158,0,1742,2237,3,1742
159,0,1742,2237,3,1742
160,0,1742,2237,3,1742
161,0,1742,2237,3,1742
162,0,1742,2237,3,1742
163,0,1742,2237,3,1742
164,0,1742,2237,3,1742
165,0,1742,2237,3,1742
166,0,1742,2237,3,1742
167,0,1742,2237,3,1742
168,0,1742,2237,3,1742
169,0,1742,2237,3,1742
170,0,1742,2237,3,1742
171,0,1742,2237,3,1742
172,0,1742,2237,3,1742
173,0,1742,2237,3,1742
174,0,1742,2237,3,1742
175,0,1742,2237,3,1742
176,0,1742,2237,3,1742
177,0,1742,2237,3,1742
178,0,1742,2237,3,1742
179,0,1742,2237,3,1742
180,0,1742,2237,3,1742
